Year,Proportion_Area_Deforested,Percent_Remaining,x_coord,y_coord
2000,0.07681667430201121,92.5,9,5
2001,0.08253705292906874,91.5,9,3
2002,0.08595860137694299,91.5,9,3
2003,0.0917428588020467,91.0,9,2
2004,0.09515376078357993,90.5,9,1
2005,0.09860047360644209,90.0,9,0
2006,0.10005194185093656,90.0,9,0
2007,0.10198040404952866,90.0,9,0
2008,0.10341154722191753,89.5,8,19
2009,0.10439715190894368,89.5,8,19
2010,0.10543727940844361,89.5,8,19
2011,0.10624415250901724,89.5,8,19
2012,0.10686487375871882,89.5,8,19
2013,0.10755947503242333,89.0,8,18
2014,0.10817277601770539,89.0,8,18
2015,0.10876994599337984,89.0,8,18
2016,0.10943696324065531,89.0,8,18
2017,0.11035949568011563,89.0,8,18
2018,0.11115830327588543,89.0,8,18
2019,0.11236409624405572,89.0,8,18
2020,0.11350843006562096,88.5,8,17
2021,0.11525783805756835,88.5,8,17
